NGC3 tk_language:,language code,Language ISO 639-1
Albanian,sq,Albanian
Afrikaans,af,Afrikaans
Amharic,am,Amharic
Arabic,ar,Arabic
Armenian,hy,Armenian
Asturian, - ,unknown
Azerbaijani,az,Azerbaijani
Bahasa,id,Bahasa
Basque,eu,Basque
Belarusian,be,Belarusian
Bengali,bn,Bengali
Bosnian,bs,Bosnian
Breton,br,Breton
Bulgarian,bg,Bulgarian
Burmese,my,Burmese
Catalan,ca,Catalan
Cherokee, - ,unknown
Chinese,zh,Chinese
Croatian,hr,Croatian
Czech,cs,Czech
Danish,da,Danish
Dutch,nl,Dutch
English,en,English
Esperanto,eo,Esperanto
Estonian,et,Estonian
Faroese,fo,Faroese
Filipino, - ,unknown
Finnish,fi,Finnish
French,fr,French
Galician,gl,Galician
Georgian,ka,Georgian
German,de,German
Greek,el,Greek
Gujarati,gu,Gujarati
Hausa,ha,Hausa
Hebrew,he,Hebrew
Hindi,hi,Hindi
Hungarian,hu,Hungarian
Icelandic,is,Icelandic
Indonesian,in,Indonesian
Irish,ga,Irish
Italian,it,Italian
Japanese,ja,Japanese
Kannada,kn,Kannada
Kazakh,kk,Kazakh
Khmer,km,Khmer
Kinyarwanda,rw,Kinyarwanda
Korean,ko,Korean
Kyrgyz,kz,Kyrgyz
Lao,lo,Laothian
Latvian,lv,Latvian
Lithuanian,lt,Lithuanian
Luxembourgish,lb,Luxembourgish
Macedonian, - ,unknown
Malagasy,mg,Malagasy
Malay,ms,Malay
Malayalam,ml,Malayalam
Maltese,mt,Maltese
Marathi,mr,Marathi
Mongolian,mn,Mongolian
Nepali,ne,Nepali (India)
Norwegian,no,Norwegian
NorwegianBokmål,nb,Norwegian Bokmal
Persian,fa,Persian
Polish,pl,Polish
Portuguese,pt,Portuguese
Punjabi,pa,Punjabi
Romanian,ro,Romanian
Romansh, - ,unknown
Russian,ru,Russian
Serbian,sr,Serbian
Shona,sn,Shona
Sinhala,si,Singhalese
Slovak,sk,Slovak
Slovenian,sl,Slovenian
Somali,so,Somali
Spanish,es,Spanish
Swahili,sw,Swahili
Swedish,sv,Swedish
Tagalog,tl,Tagalog
Tamil,ta,Tamil
Telugu,te,Telugu
Thai,th,Thai
Tibetan,bo,Tibetan
Turkish,tr,Turkish
Ukrainian,uk,Ukrainian
Urdu,ur,Urdu
Uyghur,ug,Uyghur
Uzbek,uz,Uzbek
Vietnamese,vi,Vietnamese
Welsh,cy,Welsh
WesternFrisian,fy,Western Frisian
Yiddish,yi,Yiddish
Zh-cn,zh-cn,Chinese - China
Zh-tw,zh-tw,China - Taiwan
Zulu,zu,Zulu